painting_id,year,title,width,height,complexity
b104,1920,No. VI,1010,1007,41
b105,1920,Composition A,918,900,42
b106,1920,Composition B,575,677,41
b107,1920,Composition C,610,603,44
b108,1920,Composition I,646,750,44
b109,1920,Composition II,564,630,38
b113,1920,Tableau no. I,651,753,43
b114,1920,"Composition with yellow, red, black, blue and gray",610,525,42
b115,1921,"Composition with red, black, yellow, blue and grey",500,800,34
b116,1921,"Composition with yellow, blue, black, red, and gray",727,885,42
b117,1921,"Composition with large blue plane, red, black, yellow and gray",500,605,28
b120,1921,"Composition with large red plane, black, blue, yellow and gray",480,480,24
b121,1921,Tableau no. II,650,750,45
b122,1921,Tableau,495,495,28
b123,1921,Tableau 3,415,495,21
b125,1921,"Compositie met rood, blauw, zwart, geel en grijs",350,395,18
b126,1921,Tableau I,605,965,23
b128,1921,Tableau I,1000,1030,25
b129,1921,Tableau II,990,1010,25
b130,1921,"Composition with large red plane, yellow, black, gray and blue",595,595,46
b131,1921,"Composition with red, yellow, black, blue, and gray",380,480,23
b132,1921,"Composition with red, blue, black, yellow and gray",524,760,26
b133,1922,Tableau no. III,492,492,19
b134,1922,"Composition with blue, yellow, red and gray",348,380,21
b135,1922,"Composition with blue, black, yellow and red",347,390,19
b136,1922,"Composition with blue, black, yellow and red",490,410,20
b137,1922,"Composition with red, blue, yellow, black and gray",486,419,22
b138,1922,"Composition with blue, yellow, red, black, and gray",500,420,20
b139,1922,"Composition with yellow, black, blue, red, and gray",500,400,19
b141,1922,"Composition with blue, yellow, red, and black",485,420,24
b142,1922,"Composition with blue, red, yellow, and black",495,790,20
b143,1922,"Composition with yellow, blue, and blue-white",533,553,23
b144,1922,"Composition with large red plane, bluish gray, yellow, black, and blue",534,540,27
b145,1922,"Composition with blue, yellow, black, and red",540,530,22
b146,1922,Tableau 2,534,556,24
b147,1922,"Compostion with red, black, yellow, blue, and gray",390,501,16
b150,1923,Tableau,535,540,18
b159,1925,Tableau no. VII,435,485,13
b160,1925,Tableau no. VIII,415,490,17
b162,1925,Tableau no. X,425,490,13
b163,1922,Tableau no. XI,345,385,13
