,painting_id,year,title,width,height,area,blue_area,percentage_blue_area
0,b104,1920,No. VI,1010,1007,1017070,162204.0,15.948164826413128
1,b105,1920,Composition A,918,900,826200,98645.0,11.939603001694504
2,b106,1920,Composition B,575,677,389275,87395.0,22.450709652559244
3,b107,1920,Composition C,610,603,367830,98919.0,26.892586249082456
4,b108,1920,Composition I,646,750,484500,47813.0,9.868524251805985
5,b109,1920,Composition II,564,630,355320,32325.0,9.097433299560958
6,b113,1920,Tableau no. I,651,753,490203,105148.0,21.44988912756552
7,b114,1920,"Composition with yellow, red, black, blue and gray",610,525,320250,27972.0,8.734426229508196
8,b115,1921,"Composition with red, black, yellow, blue and grey",500,800,400000,11445.0,2.86125
9,b116,1921,"Composition with yellow, blue, black, red, and gray",727,885,643395,20782.0,3.2300530778137846
10,b117,1921,"Composition with large blue plane, red, black, yellow and gray",500,605,302500,113789.0,37.616198347107435
11,b120,1921,"Composition with large red plane, black, blue, yellow and gray",480,480,230400,6059.0,2.6297743055555554
12,b121,1921,Tableau no. II,650,750,487500,76014.0,15.592615384615385
13,b122,1921,Tableau,495,495,245025,66814.0,27.268237934904597
14,b123,1921,Tableau 3,415,495,205425,13601.0,6.620907873919922
15,b125,1921,"Compositie met rood, blauw, zwart, geel en grijs",350,395,138250,3290.0,2.3797468354430378
16,b126,1921,Tableau I,605,965,583825,17784.0,3.0461182717423885
17,b128,1921,Tableau I,1000,1030,1030000,89683.0,8.707087378640777
18,b129,1921,Tableau II,990,1010,999900,35840.0,3.5843584358435843
19,b130,1921,"Composition with large red plane, yellow, black, gray and blue",595,595,354025,17877.0,5.049643386766471
20,b131,1921,"Composition with red, yellow, black, blue, and gray",380,480,182400,7992.0,4.381578947368421
21,b132,1921,"Composition with red, blue, black, yellow and gray",524,760,398240,73466.0,18.4476697468863
22,b133,1922,Tableau no. III,492,492,242064,27170.0,11.224304316213894
23,b134,1922,"Composition with blue, yellow, red and gray",348,380,132240,2170.0,1.6409558378705384
24,b135,1922,"Composition with blue, black, yellow and red",347,390,135330,9840.0,7.271115052094879
25,b136,1922,"Composition with blue, black, yellow and red",490,410,200900,15456.0,7.693379790940767
26,b137,1922,"Composition with red, blue, yellow, black and gray",486,419,203634,2093.0,1.0278244301049924
27,b138,1922,"Composition with blue, yellow, red, black, and gray",500,420,210000,15732.0,7.491428571428571
28,b139,1922,"Composition with yellow, black, blue, red, and gray",500,400,200000,0.0,0.0
29,b141,1922,"Composition with blue, yellow, red, and black",485,420,203700,7035.0,3.4536082474226806
30,b142,1922,"Composition with blue, red, yellow, and black",495,790,391050,26445.0,6.762562332182585
31,b143,1922,"Composition with yellow, blue, and blue-white",533,553,294749,59898.0,20.32169744426614
32,b144,1922,"Composition with large red plane, bluish gray, yellow, black, and blue",534,540,288360,3689.0,1.279303648217506
33,b145,1922,"Composition with blue, yellow, black, and red",540,530,286200,10557.0,3.6886792452830193
34,b146,1922,Tableau 2,534,556,296904,5150.0,1.734567402257969
35,b147,1922,"Compostion with red, black, yellow, blue, and gray",390,501,195390,0.0,0.0
36,b150,1923,Tableau,535,540,288900,504.0,0.17445482866043613
37,b159,1925,Tableau no. VII,435,485,210975,910.0,0.4313307263893827
38,b160,1925,Tableau no. VIII,415,490,203350,4784.0,2.35259404966806
39,b162,1925,Tableau no. X,425,490,208250,3740.0,1.7959183673469388
40,b163,1922,Tableau no. XI,345,385,132825,2813.0,2.1178242047807263
41,b170,1926,Komposition II,508,508,258064,0.0,0.0
42,b172,1926,Komposition IV,300,400,120000,0.0,0.0
43,b182,1927,"Composition with yellow, red, and blue",345,380,131100,2508.0,1.9130434782608694
44,b183,1927,"Composition with blue, black, and gray",350,382,133700,7031.0,5.258788332086761
45,b185,1927,"Composition with blue, yellow, and red",503,398,200194,13685.0,6.8358692068693365
46,b187,1927,"Composition with red, yellow, and blue",350,380,133000,2250.0,1.6917293233082706
47,b188,1927,"Composition with red, yellow, and blue",511,511,261121,7104.0,2.7205778164146124
48,b189,1927,"Composition with black, red, and gray",560,560,313600,0.0,0.0
49,b190,1927,No. III,400,610,244000,2600.0,1.0655737704918031
50,b191,1927,"Composition with red, yellow, and blue",520,400,208000,3006.0,1.4451923076923077
51,b192,1927,Compositie no. I,350,380,133000,9164.0,6.890225563909774
52,b193,1927,No. I,540,735,396900,5236.0,1.3192239858906525
53,b194,1927,No. III,355,380,134900,3780.0,2.8020756115641214
54,b195,1927,"Composition with red, blue, and gray",500,660,330000,1716.0,0.52
55,b196,1927,No. II,352,502,176704,1632.0,0.9235784136182543
56,b197,1927,Composition with yellow and blue,395,500,197500,12369.0,6.262784810126583
57,b198,1927,Compositie with yellow and red,350,520,182000,0.0,0.0
58,b199,1927,"Composition with yellow, red, and blue",349,378,131922,3886.0,2.9456800230439195
59,b200,1927,"Composition with red, yellow, and blue",520,750,390000,23862.0,6.118461538461538
60,b201,1928,"Large composition with red, blue, and yellow",800,1230,984000,194922.0,19.809146341463414
61,b203,1928,"Composition with red, black, blue, yellow, and gray",499,521,259979,2470.0,0.9500767369672166
62,b204,1928,"Composition with red, black, blue, and yellow",450,450,202500,3815.0,1.8839506172839506
63,b206,1929,Composition,453,451,204303,2640.0,1.2921983524471006
64,b207,1929,Composition,505,505,255025,21900.0,8.587393392804627
65,b208,1929,Composition no. I,321,401,128721,12987.0,10.089262824247792
66,b209,1929,Composition no. II,321,403,129363,11448.0,8.84951647689061
67,b210,1929,Composition no. III,454,454,206116,12400.0,6.016029808457374
68,b212,1929,Composition II,450,450,202500,20304.0,10.026666666666667
69,b213,1929,Composition no. III,505,500,252500,2624.0,1.0392079207920792
70,b214,1929,Composition no. I,520,520,270400,0.0,0.0
71,b215,1929,Composition no. II,520,520,270400,3796.0,1.4038461538461537
72,b216,1929,Composition no. IV,515,520,267800,17640.0,6.587005227781926
73,b217,1930,"Composition with red, blue and yellow",460,460,211600,12744.0,6.022684310018903
74,b219,1930,Composition no. II,510,510,260100,16093.0,6.18723567858516
75,b220,1930,Composition no. I,505,505,255025,0.0,0.0
76,b221,1930,Composition with yellow,465,460,213900,0.0,0.0
77,b222,1930,Composition II,540,726,392040,42552.0,10.853994490358126
78,b223,1930,Composition en blanc et noir I,333,409,136197,0.0,0.0
