painting_id,complexity
b104,41
b105,42
b106,41
b107,44
b108,44
b109,38
b113,43
b114,42
b115,34
b116,42
b117,28
b120,24
b121,45
b122,28
b123,21
b125,18
b126,23
b128,25
b129,25
b130,46
b131,23
b132,26
b133,19
b134,21
b135,19
b136,20
b137,22
b138,20
b139,19
b141,24
b142,20
b143,23
b144,27
b145,22
b146,24
b147,16
b150,18
b159,13
b160,17
b162,13
b163,13
b170,12
b172,11
b182,13
b183,10
b185,17
b187,13
b188,16
b189,11
b190,13
b191,17
b192,15
b193,10
b194,11
b195,12
b196,10
b197,10
b198,9
b199,14
b200,12
b201,15
b203,13
b204,13
b206,14
b207,10
b208,8
b209,9
b210,14
b212,12
b213,13
b214,12
b215,12
b216,10
b217,12
b219,12
b220,10
b221,12
b222,17
b223,8
b224,8
b225,12
b226,17
b227,12
b228,12
b230,12
b231,15
b232,12
b233,12
b234,12
b235,10
b236,8
b237,10
b238,11
b239,10
b240,8
b243,23
b244,9
b245,17
b252,29
b253,9
b254,15
b255,21
b256,27
b257,22
b259,16
b260,21
b261,15
b262,13
b263,11
b264,29
b265,31
b266,27
b267,27
b268,29
b269,24
b271,34
b272,26
b273,30
b274,55
b275,49
b276,56
b277,51
b279,71
b280,79
b281,45
b283,68
b284,24
b285,44
b286,73
b287,63
b288,50
b292,31
b293,26
b294,62
b295,47
b296,49
